Date,Open,High,Low,Close
2021-04-01,1995.1,1998.9,1968,1990.85
2021-05-01,1969,1983.6,1956,1966.1
2021-06-01,1965.9,1966,1905.15,1914.25
2021-07-01,1920.5,1945,1905.15,1911.15
2021-08-01,1918,1938.4,1912.1,1933.7
2021-11-01,1938.8,1938.8,1892.5,1897.25
2021-12-01,1903,1960,1899.9,1957.05
1/13/2021 15:30:00,1963.55,1974.95,1918.45,1938.8
1/14/2021 15:30:00,1945,1966.9,1939.05,1960.6
1/15/2021 15:30:00,1960.6,1973.8,1920.05,1937.45
1/18/2021 15:30:00,1949.1,1997,1923.35,1983.95
1/19/2021 15:30:00,1994.65,2031,1994.65,2016.4
1/20/2021 15:30:00,2021.4,2058,2001.4,2054.7
1/21/2021 15:30:00,2082,2120,2075,2099.4
1/22/2021 15:30:00,2111,2115.35,2035.15,2049.6
1/25/2021 15:30:00,2034.95,2034.95,1932,1941
1/27/2021 15:30:00,1925,1925,1888,1895
1/28/2021 15:30:00,1880.15,1923.3,1870,1876.55
1/29/2021 15:30:00,1894.3,1913.1,1830,1841.95
2021-01-02,1859.4,1905,1848,1895.3
2021-02-02,1914.25,1940,1854.95,1925.8
2021-03-02,1928.3,1952,1900,1930.65
2021-04-02,1924,1940,1905,1924.3
2021-05-02,1930.05,1944.65,1920,1923.75
2021-08-02,1933.05,1969,1929.05,1951.45
2021-09-02,1961.95,1989.6,1952.3,1956.15
2021-10-02,1953.75,1984.75,1927.3,1974.3
2021-11-02,1980,2064.2,1972.25,2055.7
2021-12-02,2055.5,2078,2015.4,2041.6
2/15/2021 15:30:00,2048.05,2061.3,2025,2032.6
2/16/2021 15:30:00,2039.75,2079.4,2035,2059.5
2/17/2021 15:30:00,2060,2095.95,2050.6,2083.25
2/18/2021 15:30:00,2085,2108.4,2059.1,2067.7
2/19/2021 15:30:00,2057,2104.95,2053.3,2080.3
2/22/2021 15:30:00,2080,2089.9,1994.95,2008.1
2/23/2021 15:30:00,2048,2052.9,2013.6,2023.45
2/24/2021 15:30:00,2030,2065.25,2026.15,2061
2/25/2021 15:30:00,2076,2152,2073,2144.35
2/26/2021 15:30:00,2117,2133.9,2070.7,2085.8
2021-01-03,2110.2,2112,2062.5,2101.7
2021-02-03,2122,2130,2089.1,2106
2021-03-03,2121.05,2219.9,2107.2,2202.1
2021-04-03,2180,2189.95,2157.7,2175.85
2021-05-03,2156,2211.95,2153.05,2178.7
2021-08-03,2168.5,2231.9,2168,2191.1
2021-09-03,2200,2213.8,2146.6,2191.05
2021-10-03,2207,2215.1,2170.25,2181.95
